idade,renda,plano,inadimplente
65.0,3675.259028067206,Prata,0
22.0,5886.66364103696,Ouro,1
43.0,7657.358655105318,Básico,1
21.0,4242.148804563832,Básico,1
37.0,2876.030818372891,Ouro,1
41.0,5499.836368150353,Básico,0
57.0,3293.4565226224186,Básico,0
46.0,4944.660700727093,Prata,0
32.0,6947.996198117076,Ouro,0
41.0,3381.529707764774,Ouro,0
26.0,8717.193997865856,Prata,1
43.0,1446.7281401663304,Básico,1
64.0,6250.87205340501,Ouro,0
60.0,5743.607971423504,Ouro,0
44.0,2065.289645535434,Ouro,0
26.0,800.0,Prata,0
57.0,4637.503781236276,Básico,1
56.0,3025.160362334384,Básico,0
22.0,7039.889866619249,Básico,1
66.0,5333.37852601327,Prata,1
25.0,6030.77398356528,Ouro,1
62.0,1907.3016694360695,Básico,1
18.0,3732.9576153233397,Prata,1
29.0,3478.303002968796,Básico,0
24.0,1823.3597920263987,Prata,0
37.0,5106.337659623829,Básico,0
62.0,5559.15734101858,Básico,1
23.0,5337.385285621092,Básico,1
42.0,4579.6996415000585,Básico,1
66.0,3361.5034218314395,Ouro,0
18.0,2788.4680502857373,Básico,1
52.0,3332.381771755825,Ouro,0
27.0,3918.8391853551166,Prata,0
32.0,1493.6504389474067,Básico,1
56.0,6164.413423331482,Prata,0
22.0,5556.603546331515,Básico,0
64.0,5572.7775688969505,Ouro,0
27.0,2342.825673477392,Básico,1
41.0,4982.027609509895,Prata,0
53.0,7484.769481525131,Básico,1
21.0,6402.227206943194,Básico,1
26.0,3150.1732129797483,Ouro,0
37.0,3254.478994935648,Básico,0
66.0,4105.022515180994,Prata,0
19.0,8699.01437674287,Prata,1
18.0,5027.712823840461,Básico,1
34.0,2160.4103344516566,Ouro,0
49.0,4032.9745557790225,Ouro,1
47.0,6536.529760192675,Básico,0
62.0,800.0,Prata,0
46.0,7867.478938792078,Básico,1
25.0,3986.440075351107,Prata,0
41.0,5153.8296134649445,Básico,0
28.0,6684.301540890996,Prata,1
59.0,2440.847093842453,Prata,0
53.0,2388.861275731392,Prata,1
18.0,4062.105944649543,Básico,0
25.0,3151.7133423447617,Ouro,1
41.0,1742.5792992363045,Básico,1
46.0,3791.158014165616,Ouro,0
50.0,10470.727238068881,Básico,0
39.0,8085.686330818124,Básico,1
54.0,6993.9572070706,Prata,0
53.0,2575.463057546989,Ouro,0
51.0,3628.470633456356,Prata,0
21.0,3536.90571232709,Ouro,0
45.0,1721.2660090892855,Básico,0
51.0,1176.0209910633844,Básico,0
37.0,1650.8657363551192,Básico,0
45.0,3109.0088145937398,Prata,0
22.0,800.0,Básico,1
37.0,3669.187691701047,Básico,0
51.0,6304.334356011208,Básico,0
48.0,4507.714650727989,Básico,1
55.0,7902.537460224036,Básico,0
27.0,1837.2097418124777,Básico,0
47.0,7734.122253945812,Básico,0
35.0,5727.410194816467,Básico,0
49.0,4794.11764599855,Ouro,0
20.0,5767.460345441948,Básico,0
37.0,6653.071998419894,Prata,0
68.0,1846.6510860116027,Prata,0
36.0,6590.62288716086,Básico,1
39.0,7333.5777239404115,Básico,1
21.0,4296.83368310886,Ouro,1
29.0,5727.452506281487,Básico,1
65.0,3423.74416384464,Prata,1
34.0,4718.905250277551,Ouro,1
30.0,7335.8373885981,Básico,0
47.0,5982.654405745699,Ouro,1
61.0,3213.029317866335,Prata,0
59.0,2412.6284541379337,Prata,0
27.0,5718.9500045102905,Prata,0
30.0,1281.5065037663735,Básico,0
21.0,800.0,Prata,1
64.0,977.8386592588472,Básico,0
32.0,5187.660432304889,Ouro,0
38.0,3029.9163815353213,Prata,0
33.0,5524.7174473175655,Básico,1
53.0,7006.571788268749,Básico,0
66.0,6171.040892421679,Ouro,1
22.0,2989.630430989566,Ouro,1
61.0,5066.113009533311,Básico,1
26.0,3887.106660196751,Básico,1
44.0,834.2019871639741,Básico,1
61.0,5904.612526195393,Ouro,0
65.0,9586.854338396195,Básico,0
41.0,5022.828966918117,Ouro,1
31.0,5980.7057337590595,Ouro,1
68.0,3469.584451935546,Básico,1
57.0,6535.983418674261,Básico,1
21.0,4091.3565207472093,Prata,1
47.0,1510.554352231091,Ouro,0
30.0,6807.156596384277,Ouro,1
30.0,5092.987703616335,Ouro,1
33.0,8033.768820978783,Básico,1
47.0,6593.916984811506,Básico,0
26.0,4275.437795954837,Básico,1
56.0,4690.148307768758,Prata,1
24.0,3031.2112094707077,Prata,1
39.0,4110.562247233648,Básico,1
62.0,4355.790682991372,Prata,0
45.0,5339.615845835941,Ouro,1
25.0,7947.617486901424,Ouro,0
35.0,4985.11578285142,Ouro,1
60.0,6445.895939015983,Ouro,0
65.0,2803.833317897116,Ouro,0
23.0,7555.684217620446,Básico,1
54.0,6437.405684243289,Ouro,0
59.0,3787.1834728976105,Básico,0
59.0,6114.082669067653,Básico,0
47.0,3783.366313999077,Básico,1
44.0,1480.286263998989,Ouro,0
18.0,7043.441465969207,Prata,0
40.0,4314.539125860433,Básico,1
52.0,5417.0290064634,Básico,0
30.0,3411.4363227891554,Ouro,0
24.0,2667.8242564250404,Ouro,1
58.0,3473.669617621136,Básico,0
52.0,5281.015077938935,Básico,0
60.0,4580.387837651228,Básico,0
64.0,5727.941361739664,Básico,0
67.0,7432.806310137205,Prata,0
47.0,2703.289603260583,Básico,1
56.0,2520.5262821362076,Prata,0
60.0,4615.187275779744,Ouro,0
35.0,4540.341286456795,Ouro,0
23.0,2525.807610638455,Básico,1
33.0,3918.3479641056365,Básico,1
67.0,3722.246519479667,Básico,1
